,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
42,Microsoft Power BI: Latest 2020 Beginner to Expert Modules,https://www.udemy.com/course/microsoft-power-bi-latest-2020-beginner-to-expert-modules/?couponCode=PO4W6E1R3,3.88462,13,English,"3,5 total Stunden",Business,Daten & Analyse,,2 days 00:00:00.000000000,{'Henry Harvin Education'}
111,Complete Data Science Masterclass: Beginner to Advanced,https://www.udemy.com/course/complete-data-science-course-learn-hands-on-practically/?couponCode=DISCUDEMY.COM,3.1,43,English,40 Min. gesamt,Business,Daten & Analyse,,2 days 01:00:00.000000000,"{'Shokal Shah', 'National Learning Center'}"
9,Hotel Management Course - Hotel Management for Career Start,https://www.udemy.com/course/hotel-management-for-beginners/?couponCode=0DDF0514C4C6F6FA27F8,4.47619,35,English,1 total Stunde,Business,Industrie,,0 days 01:00:00.000000000,{'Sabir Ziganshin'}
68,Fiverr: How To Start Freelancing Career With Fiverr,https://www.udemy.com/course/fiverr-start-freelancing-become-a-top-rated-fiverr-seller-on-fiverr/?couponCode=856A2F9825775AC89B4C,4.14493,162,English,1 total Stunde,Business,Unternehmensgründung,,2 days 16:00:00.000000000,{'Liaqat Eagle'}
71,Learn Illustrator CC: Create Simple Flat Vector Characters,https://www.udemy.com/course/simple-flat-vector-characters/?couponCode=741B6B77DF3B76230B15,4.43085,283,English,1 total Stunde,Design,Grafikdesign,,1 days 00:00:00.000000000,{'Jonathan Lam'}
20,Adobe Premiere Pro: Ultimate Beginner Course,https://www.udemy.com/course/premiere-pro-with-brad-newton/?couponCode=MAR2020_FREE,4.39712,645,English,"5,5 total Stunden",Fotografie,Videodesign,,1 days 20:00:00.000000000,{'Brad Newton'}
87,Inflammation - The Hidden Source of Disease and Chronic Pain,https://www.udemy.com/course/pain-relief/?couponCode=MARCH6INFLAMMATION,4.05,62,English,1 total Stunde,Gesundheit & Fitness,Ernährung,,0 days 17:00:00.000000000,"{'Martin Pytela', 'Scott Paton', 'Scott Alex'}"
45,Home Workout | Fitness | Posture: The 21 Day Transformation,https://www.udemy.com/course/home-workout-fitness-posture-the-21-day-transformation/?couponCode=C6BD8D466DAC32F586F7,3.85,15,English,"5,5 total Stunden",Gesundheit & Fitness,Fitness,,2 days 10:00:00.000000000,"{'Kevin Kockot, M.A.'}"
81,EFT Emotional Freedom Technique: Hair Pulling & Skin Picking,https://www.udemy.com/course/eft-emotional-freedom-techniques-for-hair-pulling-skin-picking/?couponCode=MARCH6EFTECHNIQUE,3.75,50,English,2 total Stunden,Gesundheit & Fitness,Mentale Gesundheit,,0 days 17:00:00.000000000,"{'Scott Paton', 'Scott Alex', 'Joan Kaylor'}"
113,How to Analyze Football (Soccer) - Basics,https://www.udemy.com/course/how-to-analyze-football-soccer-basics/?couponCode=170134B9DA2940A67680,4.6,30,English,1 total Stunde,Gesundheit & Fitness,Sport,,0 days 14:00:00.000000000,{'Hamza El Kadioui'}
28,Complete Certified Ethical Hacking Course: Zero to Hero,https://www.udemy.com/course/complete-certified-ethical-hacking-course-zero-to-hero-u/?couponCode=DISCUDEMY.COM,3.08333,59,English,36 Min. gesamt,IT & Software,IT-Zertifizierung,,1 days 06:00:00.000000000,{'Pronoy Kumar'}
29,Complete Ethical Hacking Course - Learn Hacking Practically,https://www.udemy.com/course/complete-ethical-hacking-course-learn-hacking-practically/?couponCode=DISCUDEMY.COM,3.15625,153,English,42 Min. gesamt,IT & Software,Netzwerk & Sicherheit,,1 days 06:00:00.000000000,{'Pronoy Kumar'}
40,Complete Cyber Security Course: Beginner to Advanced,https://www.udemy.com/course/complete-cyber-security-course-beginner-to-advanced-u/?couponCode=JUI-0-CYBER,3.02632,206,English,3 total Stunden,IT & Software,Netzwerk & Sicherheit,,2 days 01:00:00.000000000,{'Mohammad Mostafizur Rahaman'}
90,Affiliate Marketing Master Class Step By Step Guide 2020,https://www.udemy.com/course/modern-affiliate-marketing-earn-money-in-2018-complete-guide/?couponCode=304D884D069F2DF6F281,4.375,104,English,1 total Stunde,Marketing,Affiliate-Marketing,,2 days 16:00:00.000000000,{'Liaqat Eagle'}
103,ClickBank Affiliate Marketing Secrets Home Business Success,https://www.udemy.com/course/clickbank-affiliate-marketing-secrets-home-business-success/?couponCode=9ED3BFFD23BDF384B9B6,3.96,79,English,1 total Stunde,Marketing,Affiliate-Marketing,,2 days 16:00:00.000000000,{'Liaqat Eagle'}
116,Affiliate Marketing and Organic SEO in 2020 - The Fast Track,https://www.udemy.com/course/affiliate-marketing-and-organic-seo/?couponCode=AMOS2020MARFREE,4.25882,85,English,5 total Stunden,Marketing,Digitales Marketing,,2 days 02:00:00.000000000,"{'Online Marketing Classroom', 'Tim Godfrey'}"
127,Artificial Intelligence In Digital Marketing,https://www.udemy.com/course/artificial-intelligence-in-digital-marketing-skills/?couponCode=1E15D828B684900527DB,3.88298,61,English,1 total Stunde,Marketing,Digitales Marketing,,2 days 16:00:00.000000000,{'Liaqat Eagle'}
15,Facebook Messenger Bot Marketing Masterclass 2020,https://www.udemy.com/course/facebook-messenger-bot-marketing-masterclass-2019/?couponCode=BE26C9324C1A1069F8E7,4.05,35,English,1 total Stunde,Marketing,Social-Media-Marketing,,2 days 16:00:00.000000000,{'Liaqat Eagle'}
21,How to Start a Podcast - Podcasting Made Easy,https://www.udemy.com/course/powerpodcasters/?couponCode=MARCH7HTSPODCAST,4.36,612,English,11 total Stunden,Marketing,Social-Media-Marketing,,1 days 16:00:00.000000000,"{'Scott Paton', 'Scott Alex'}"
82,Facebook Ads 101. Complete Facebook Ads & Marketing Course,https://www.udemy.com/course/facebook-ads-101-complete-facebook-ads-marketing-course/?couponCode=B681FE2193DA6220F482,3.98684,174,English,1 total Stunde,Marketing,Social-Media-Marketing,,2 days 16:00:00.000000000,{'Liaqat Eagle'}
17,The Ultimate Youtube Traffic Hack - Unlimited Free Traffic,https://www.udemy.com/course/youtube-traffic/?couponCode=MARCH7YTTRAFFICHACK,3.9,46,English,1 total Stunde,Marketing,Video- & Mobile-Marketing,,1 days 16:00:00.000000000,"{'Christian Gasper', 'Scott Paton', 'Scott Alex'}"
55,Modern Vlogging Guide - Make Money From Vlogging,https://www.udemy.com/course/modern-vlogging-guide-make-money-from-vlogging/?couponCode=F425970CCF1D50A4A92F,4.08696,23,English,1 total Stunde,Marketing,Video- & Mobile-Marketing,,2 days 16:00:00.000000000,{'Liaqat Eagle'}
124,Unstoppable Self Confidence - Your Key to Success!,https://www.udemy.com/course/unstoppable-self-confidence-success/?couponCode=MARCH8SELFCONFIDENCE,4.35,53,English,1 total Stunde,Persönliche Entwicklung,Motivation,,2 days 15:00:00.000000000,"{'Rachel Smets', 'Scott Paton', 'Scott Alex'}"
19,A Beginner's Guide to Overcoming Shyness,https://www.udemy.com/course/a-beginners-guide-to-overcoming-shyness/?couponCode=MARCH20,3.66667,13,English,31 Min. gesamt,Persönliche Entwicklung,Persönliche Veränderung,,1 days 10:00:00.000000000,{'Code Of Mind School'}
62,Personal Transformation in 7 days| Increase Your Self Esteem,https://www.udemy.com/course/personal-transformation-in-7-days-increase-your-self-esteem/?couponCode=MARCH20,3.96875,18,English,"4,5 total Stunden",Persönliche Entwicklung,Selbstwertgefühl,,0 days 08:00:00.000000000,{'Code Of Mind School'}
