,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
78,E-Mails schreiben leicht gemacht - inkl. Shortbook,https://www.udemy.com/course/e-mails-schreiben-leicht-gemacht/?couponCode=STAYATHOME,4.25,14,Deutsch,1 total Stunde,Business,Kommunikation,,2 days 06:00:00.000000000,{'Susanne Knaller'}
14,Erfolgreiches Diversity Management - inkl. Shortbook,https://www.udemy.com/course/erfolgreiches-diversity-management-inkl-shortbook/?couponCode=STAYATHOME,4.16667,3,Deutsch,41 Min. gesamt,Business,Management,,2 days 06:00:00.000000000,{'Susanne Knaller'}
21,Onboarding neuer Mitarbeiter - inkl. Shortbook,https://www.udemy.com/course/onboarding-neuer-mitarbeiter/?couponCode=STAYATHOME,3.625,4,Deutsch,1 total Stunde,Business,Management,,2 days 06:00:00.000000000,{'Susanne Knaller'}
55,Dauerhafter Erfolg als Führungskraft - inkl. Shortbook,https://www.udemy.com/course/dauerhafter-erfolg-als-fuehrungskraft/?couponCode=STAYATHOME,4.0,19,Deutsch,35 Min. gesamt,Business,Management,,2 days 05:00:00.000000000,{'Susanne Knaller'}
80,Funnelcockpit - Online Business mit nur einem Tool,https://www.udemy.com/course/funnelcockpit/?couponCode=C69405AC4D87530DA4A8,3.25,2,Deutsch,3 total Stunden,Marketing,Digitales Marketing,,1 days 04:00:00.000000000,{'Daniel Keller'}
39,Lebenslauf schreiben leicht gemacht - inkl. Shortbook,https://www.udemy.com/course/lebenslauf-war-gestern-der-erfolgreiche-bewerbungsratgeber/?couponCode=STAYATHOME,4.72222,9,Deutsch,41 Min. gesamt,Persönliche Entwicklung,Karriereentwicklung,,2 days 06:00:00.000000000,{'Susanne Knaller'}
83,Statistics with R - Beginner Level,https://www.udemy.com/course/statistics-with-r-beginner-level/?couponCode=RSTATSQUICK3D,4.24468,943,English,3 total Stunden,Business,Daten & Analyse,,1 days 20:00:00.000000000,{'Bogdan Anastasiei'}
63,Profitable Forex with Risk Control,https://www.udemy.com/course/profitable-forex-with-risk-control/?couponCode=FACEBOOK,3.2,134,English,"1,5 total Stunden",Business,Finanzen,,2 days 17:00:00.000000000,{'Juri Fab'}
1,GET on TOP of Real Estate Business with Facebook Ads in 2020,https://www.udemy.com/course/facebook-ads-for-real-estate-business/?couponCode=SKILLSFORFUTURE,4.1,12,English,23 total Stunden,Business,Immobilien,,1 days 23:00:00.000000000,"{'Tomas Moravek | SEO, Facebook Ads & Facebook Marketing Expert', 'SEO, Facebook Ads & Digital Marketing Academy'}"
10,Become a Professional Receptionist,https://www.udemy.com/course/become-a-professional-receptionist/?couponCode=MAR2020,3.75,18,English,6 total Stunden,Business,Kommunikation,,1 days 23:00:00.000000000,{'Global Corporate Academy'}
40,How To Start and Grow A Successful Clothing Brand Business,https://www.udemy.com/course/start-a-clothing-brand/?couponCode=MARCHFREEBIE,4.5,10,English,"2,5 total Stunden",Business,Unternehmensgründung,,2 days 03:00:00.000000000,{'Toby Cannon'}
7,Dropshipping Amazon To Ebay Easiest Way To Make Money Online,https://www.udemy.com/course/dropshipping-amazon-to-ebay-easiest-way-to-make-money-2019/?couponCode=CORONAVIRUS2,3.28125,21,English,2 total Stunden,Business,Verkauf/Vertrieb,,0 days 23:00:00.000000000,{'El Hamim Abderrahmane'}
19,Blender 3D Model a Medieval Catapult Full simulation Guide,https://www.udemy.com/course/blender-28-model-texture-animate-simulate-complete-guide/?couponCode=3DTUDORCATAFREE,4.26786,33,English,13 total Stunden,Design,3D & Animation,,0 days 05:00:00.000000000,{'Neil Bettison'}
36,Complete course in AutoCAD 2020 : 2D and 3D,https://www.udemy.com/course/autocad-2020-for-designers-a-problem-solving-approach/?couponCode=STAYSAFE,3.86842,65,English,"16,5 total Stunden",Design,Designtools,,0 days 22:00:00.000000000,{'CADCIM Technologies'}
74,Autodesk AutoCAD Civil 3D: For Engineers and Designers,https://www.udemy.com/course/autocadcivil3d2019/?couponCode=BEATCORONA,3.84,25,English,8 total Stunden,Design,Designtools,,0 days 23:00:00.000000000,{'CADCIM Technologies'}
4,The Ultimate Photoshop & Graphic Design Course ! 2020,https://www.udemy.com/course/the-ultimate-photoshop-graphic-design-course-2019/?couponCode=4CD5E51C00100E879312,3.85366,64,English,"2,5 total Stunden",Design,Grafikdesign,,0 days 01:00:00.000000000,{'Houssem Nmiri'}
82,AWS Certified Cloud Practitioner in 5 hours,https://www.udemy.com/course/aws-certified-cloud-practitioner-/?couponCode=FREECLOUD,4.53704,35,English,5 total Stunden,IT & Software,IT-Zertifizierung,,1 days 02:00:00.000000000,"{'Abdelrhman Moussa', 'Ahmed Alkabary'}"
37,The Basics of Cyber Security 2020,https://www.udemy.com/course/the-basics-of-cyber-security-2020/?couponCode=372F9E3ADFA46D491E90,4.06944,39,English,1 total Stunde,IT & Software,Netzwerk & Sicherheit,,0 days 03:00:00.000000000,{'Faisal Ammari'}
45,Orthogonal Array Testing,https://www.udemy.com/course/orthogonal-array-testing/?couponCode=HANDWASH,3.97727,22,English,38 Min. gesamt,IT & Software,Sonstiges,,1 days 23:00:00.000000000,{'Narayanan Palani'}
54,Digital Nomad Travel: Moving to Colombia Long Term,https://www.udemy.com/course/digital-nomad-travel-colombia/?couponCode=MARCH22NOMAD,4.05,28,English,1 total Stunde,Lifestyle,Reisen,,0 days 11:00:00.000000000,"{'Greggo Amos', 'Scott Alex', 'Scott Paton'}"
18,Facebook Dynamic Ads (Facebook Dynamic Retargeting) MASTERY,https://www.udemy.com/course/facebook-dynamic-ads/?couponCode=BETTERLIFE108,4.8,46,English,8 total Stunden,Marketing,Digitales Marketing,,1 days 21:00:00.000000000,"{'Tomas Moravek | SEO, Facebook Ads & Facebook Marketing Expert', 'SEO, Facebook Ads & Digital Marketing Academy'}"
30,"Complete Video Production, Marketing, & YouTube Mastery 2020",https://www.udemy.com/course/complete-video-marketing-course/?couponCode=BETTERLIFE108,4.27778,19,English,"13,5 total Stunden",Marketing,Video- & Mobile-Marketing,,1 days 21:00:00.000000000,"{'Tomas Moravek | SEO, Facebook Ads & Facebook Marketing Expert', 'SEO, Facebook Ads & Digital Marketing Academy', 'Chaply RZBLZ | Filmmaker travelling around the world'}"
43,"PODCAST MASTERY: How to Make, Market, and Monetize Podcasts",https://www.udemy.com/course/podcast-mastery/?couponCode=MARCH22PODCAST,4.15,10,English,2 total Stunden,Marketing,Video- & Mobile-Marketing,,0 days 11:00:00.000000000,"{'Ricky Shetty', 'Scott Alex', 'Scott Paton'}"
64,Excel VBA Programming for Beginners - Learn VBA from Scratch,https://www.udemy.com/course/vba-mastery-for-beginners-learn-excel-vba-from-scratch/?couponCode=NEWEXCELVBAFREE,4.1,10,English,"5,5 total Stunden",Office-Produktivität,Microsoft,,0 days 14:00:00.000000000,"{'Gillian Werner', 'Steve McDonald'}"
94,Advanced Microsoft Excel Formulas & Functions,https://www.udemy.com/course/advanced-microsoft-excel-formulas-functions/?couponCode=442CAA9FF6BDDDBBAFFA,4.08333,12,English,"1,5 total Stunden",Office-Produktivität,Microsoft,,0 days 13:00:00.000000000,{'Ahamed Mohideen Ahamed Mohideen Mubeen'}
33,Immediately Engage Any Audience,https://www.udemy.com/course/public-speaking-wow-your-audience/?couponCode=EEE5C3961743B245350A,3.9,21,English,1 total Stunde,Persönliche Entwicklung,Persönliche Veränderung,,0 days 10:00:00.000000000,{'Antwon Martin'}
52,Life Coaching for PTSD overcome anxiety and depression CBT,https://www.udemy.com/course/life-coaching-for-ptsd-overcome-anxiety-and-depression-cbt/?couponCode=MARCH202020,3.4,33,English,33 Min. gesamt,Persönliche Entwicklung,Sonstiges,,1 days 08:00:00.000000000,{'Crystal Hutchinson Tummala'}
88,R Programming For Absolute Beginners,https://www.udemy.com/course/r-programming-course-for-absolute-beginners/?couponCode=RFROMSTART3D,4.43373,1642,English,"9,5 total Stunden",Programmierung,Data Science,,1 days 20:00:00.000000000,{'Bogdan Anastasiei'}
70,React Native and Redux Course using hooks,https://www.udemy.com/course/react-native-and-redux-course-using-hooks/?couponCode=FREEREACTNATIVE,4.31373,57,English,"11,5 total Stunden",Programmierung,Mobile-Apps,,1 days 15:00:00.000000000,{'Mukesh phulwani'}
16,Java Programming: Complete Beginner to Advanced,https://www.udemy.com/course/java-programming-complete-beginner-to-advanced/?couponCode=859F4A0960169A3,4.44992,1353,English,"1,5 total Stunden",Programmierung,Programmiersprachen,,0 days 04:00:00.000000000,{'CodeIn Academy'}
26,Build Full Download Manager | Python & PyQt5,https://www.udemy.com/course/build-full-download-manager-python-pyqt5/?couponCode=62CC8F6A17C1FFB51850,4.25,24,English,4 total Stunden,Programmierung,Programmiersprachen,,0 days 13:00:00.000000000,{'Mahmoud Ahmed'}
