,title,link,rating,num_ratings,language,duration,topic_0,topic_1,topic_2,expiring,instructor
0,Machine Learning Masterclass A-Z: Beginner to Advance,https://www.udemy.com/course/machine-learning-masterclass-a-z-beginner-to-advance/?couponCode=ML_LEARN_FREE,3.27381,140,English,3 total Stunden,Business,Daten & Analyse,,0 days 02:00:00.000000000,"{'Marufa Yasmin', 'J Kin'}"
17,Complete Data Science Masterclass: Beginner to Advanced,https://www.udemy.com/course/complete-data-science-course-learn-hands-on-practically/?couponCode=DISCUDEMY.COM,3.1,43,English,40 Min. gesamt,Business,Daten & Analyse,,2 days 21:00:00.000000000,"{'National Learning Center', 'Shokal Shah'}"
124,Microsoft Power BI: Latest 2020 Beginner to Expert Modules,https://www.udemy.com/course/microsoft-power-bi-latest-2020-beginner-to-expert-modules/?couponCode=PO4W6E1R3,3.88462,13,English,"3,5 total Stunden",Business,Daten & Analyse,,2 days 21:00:00.000000000,{'Henry Harvin Education'}
19,Stock Option Day Trading with Chart Pattern Trading Tools,https://www.udemy.com/course/trading-stock-options-ii-simplified-strategies-for-success/?couponCode=MARCH5STOCKOPTION,4.46154,247,English,"10,5 total Stunden",Business,Finanzen,,0 days 10:00:00.000000000,"{'Allen Maxwell', 'Mark Iddon', 'Scott Alex', 'Scott Paton'}"
97,Chart Pattern Trading via Day Trade Stock Options Intro,https://www.udemy.com/course/how-to-trade-stock-options-level-1-start-day-trading/?couponCode=MARCH5CHARTPATTERN,4.55,431,English,3 total Stunden,Business,Finanzen,,0 days 10:00:00.000000000,"{'Allen Maxwell', 'Mark Iddon', 'Scott Alex', 'Scott Paton'}"
84,Hotel Management Course - Hotel Management for Career Start,https://www.udemy.com/course/hotel-management-for-beginners/?couponCode=0DDF0514C4C6F6FA27F8,4.47619,35,English,1 total Stunde,Business,Industrie,,0 days 22:00:00.000000000,{'Sabir Ziganshin'}
98,Learn Illustrator CC: Create Simple Flat Vector Characters,https://www.udemy.com/course/simple-flat-vector-characters/?couponCode=741B6B77DF3B76230B15,4.36082,283,English,1 total Stunde,Design,Grafikdesign,,1 days 21:00:00.000000000,{'Jonathan Lam'}
55,Complete Photography Course for Beginners : 9 Courses in 1,https://www.udemy.com/course/complete-photography-course/?couponCode=FREEPHOTOGRAPHY20,3.92308,260,English,2 total Stunden,Fotografie,Fotografiegrundlagen,,0 days 16:00:00.000000000,{'Creative Online School'}
60,iPhone Photography - Take Better Pictures With Your iPhone,https://www.udemy.com/course/iphonephotographycourse/?couponCode=MARCHFREE,3.92857,113,English,"1,5 total Stunden",Fotografie,Fotografiegrundlagen,,0 days 17:00:00.000000000,"{'Joe Parys Support', 'Joe Parys'}"
45,Video Editing with Adobe Premiere Pro CC 2020 for Beginners,https://www.udemy.com/course/video-editing-with-adobe-premiere-pro-cc-for-beginners/?couponCode=MARFREE,4.04167,67,English,1 total Stunde,Fotografie,Videodesign,,0 days 20:00:00.000000000,{'Adeep Krishna'}
133,Adobe Premiere Pro: Ultimate Beginner Course,https://www.udemy.com/course/premiere-pro-with-brad-newton/?couponCode=MAR2020_FREE,4.39419,644,English,"5,5 total Stunden",Fotografie,Videodesign,,2 days 16:00:00.000000000,{'Brad Newton'}
28,Nutrition & Natural Medicine To Reduce High Blood Pressure!,https://www.udemy.com/course/how-to-reduce-high-blood-pressure-with-natural-medicine/?couponCode=98D54F91FB7844BE7698,3.75,12,English,"2,5 total Stunden",Gesundheit & Fitness,Allgemeine Gesundheit,,0 days 01:00:00.000000000,"{'Kevin Kockot, M.A.'}"
115,Inflammation - The Hidden Source of Disease and Chronic Pain,https://www.udemy.com/course/pain-relief/?couponCode=MARCH6INFLAMMATION,4.05,62,English,1 total Stunde,Gesundheit & Fitness,Ernährung,,1 days 13:00:00.000000000,"{'Martin Pytela', 'Scott Alex', 'Scott Paton'}"
65,EFT Emotional Freedom Technique: Hair Pulling & Skin Picking,https://www.udemy.com/course/eft-emotional-freedom-techniques-for-hair-pulling-skin-picking/?couponCode=MARCH6EFTECHNIQUE,3.75,50,English,2 total Stunden,Gesundheit & Fitness,Mentale Gesundheit,,1 days 13:00:00.000000000,"{'Scott Alex', 'Joan Kaylor', 'Scott Paton'}"
81,How to Analyze Football (Soccer) - Basics,https://www.udemy.com/course/how-to-analyze-football-soccer-basics/?couponCode=170134B9DA2940A67680,4.6,30,English,1 total Stunde,Gesundheit & Fitness,Sport,,1 days 11:00:00.000000000,{'Hamza El Kadioui'}
78,Linux Command Line Basics,https://www.udemy.com/course/linux-command-line-volume1/?couponCode=2020LINUX,4.46923,10639,English,5 total Stunden,IT & Software,Betriebssysteme,,0 days 08:00:00.000000000,{'Ahmed Alkabary'}
16,Certified Ethical Hacker (CEH) Practice Exams,https://www.udemy.com/course/certified-ethical-hacker-ceh-practice-exams/?couponCode=CEH2020MAR,3.98851,533,English,110 Fragen,IT & Software,IT-Zertifizierung,,0 days 12:00:00.000000000,{'Dhabaleshwar Das'}
69,The Complete Ethical Hacking Course: Beginner to Advance!,https://www.udemy.com/course/the-complete-ethical-hacking-course-beginner-to-advance/?couponCode=EHACK-C,3.06522,68,English,3 total Stunden,IT & Software,Netzwerk & Sicherheit,,0 days 02:00:00.000000000,"{'Marufa Yasmin', 'J Kin'}"
117,Complete Ethical Hacking Course - Learn Hacking Practically,https://www.udemy.com/course/complete-ethical-hacking-course-learn-hacking-practically/?couponCode=DISCUDEMY.COM,3.19388,151,English,42 Min. gesamt,IT & Software,Netzwerk & Sicherheit,,2 days 02:00:00.000000000,{'Pronoy Kumar'}
90,Affiliate Marketing and Organic SEO in 2020 - The Fast Track,https://www.udemy.com/course/affiliate-marketing-and-organic-seo/?couponCode=AMOS2020MARFREE,4.25,85,English,5 total Stunden,Marketing,Digitales Marketing,,2 days 22:00:00.000000000,"{'Tim Godfrey', 'Online Marketing Classroom'}"
110,How to Start a Podcast - Podcasting Made Easy,https://www.udemy.com/course/powerpodcasters/?couponCode=MARCH7HTSPODCAST,4.36,612,English,11 total Stunden,Marketing,Social-Media-Marketing,,2 days 12:00:00.000000000,"{'Scott Alex', 'Scott Paton'}"
63,The Ultimate Youtube Traffic Hack - Unlimited Free Traffic,https://www.udemy.com/course/youtube-traffic/?couponCode=MARCH7YTTRAFFICHACK,4.35,45,English,1 total Stunde,Marketing,Video- & Mobile-Marketing,,2 days 12:00:00.000000000,"{'Scott Alex', 'Christian Gasper', 'Scott Paton'}"
